time,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,target_x,target_y,target_theta,leg_l,leg_r,human_moving,human_sitting,human_detected
1768496023.861,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
1768496024.361,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496024.861,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496025.361,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496025.861,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496026.361,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496026.861,5.02,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496027.361,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496027.861,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496028.361,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496028.861,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496029.364,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496029.861,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496030.361,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496030.861,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496031.361,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496031.861,5.01,1.91,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496032.361,5.01,1.90,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496032.861,5.02,1.91,3.13,0.19,2.12,3.10,0.00,0.00,0.00,0.00,0.00,1,0,1
1768496033.361,5.01,1.90,3.13,0.29,1.90,-3.14,0.00,0.00,0.00,0.00,0.00,1,0,1
1768496033.861,5.01,1.91,3.13,0.22,1.92,3.14,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496034.361,5.02,1.90,3.13,0.18,1.87,-3.14,0.00,0.00,0.00,0.00,0.00,0,0,1
1768496034.861,5.02,1.90,3.13,0.18,1.93,3.14,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496035.361,5.02,1.90,3.13,0.26,2.14,3.09,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496035.861,5.01,1.91,3.13,0.17,1.93,3.14,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496036.361,5.01,1.90,3.13,0.17,1.93,3.14,0.18,2.83,3.14,0.00,0.00,1,0,0
1768496036.861,5.01,1.91,3.06,0.18,1.93,3.14,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496037.361,5.00,1.90,3.02,0.23,1.90,-3.14,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496037.861,4.96,1.91,2.97,0.21,1.84,-3.13,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496038.361,4.92,1.91,2.97,0.34,1.89,-3.14,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496038.861,4.85,1.92,2.96,0.34,1.91,-3.14,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496039.361,4.78,1.94,2.96,0.21,1.87,-3.13,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496039.861,4.65,1.97,2.95,0.26,1.88,-3.12,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496040.361,4.53,1.99,2.95,0.30,1.88,-3.12,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496040.861,4.32,2.03,2.95,0.23,1.90,-3.11,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496041.361,4.19,2.05,2.95,0.38,1.88,-3.10,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496041.861,3.99,2.09,2.95,0.35,1.88,-3.09,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496042.361,3.84,2.12,2.94,0.30,2.08,-3.13,0.18,2.83,3.14,0.00,0.00,1,0,1
1768496042.861,3.60,2.16,2.95,0.21,2.11,-3.13,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496043.361,3.43,2.19,2.94,0.19,2.16,-3.13,0.18,2.83,3.14,0.00,0.00,0,0,1
1768496043.861,3.19,2.24,2.94,0.21,2.16,-3.12,0.18,2.83,3.14,0.00,0.00,0,0,1
