time,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,target_x,target_y,target_theta,leg_l,leg_r,human_moving,human_sitting,human_detected
1768500036.610,4.19,2.49,-2.08,-0.02,2.25,2.10,2.12,2.40,-3.10,8.09,5.10,1,0,1
1768500037.110,4.19,2.50,-2.35,-0.02,2.25,2.10,2.12,2.40,-3.10,9.14,7.21,0,0,1
1768500037.611,4.19,2.49,-2.70,-0.32,2.23,2.39,2.12,2.40,-3.10,8.53,7.12,1,0,1
1768500038.111,4.19,2.49,-2.83,-0.61,2.21,2.74,2.12,2.40,-3.10,8.17,6.86,1,0,1
1768500038.611,4.19,2.49,-2.96,-0.78,2.19,2.95,2.12,2.40,-3.10,7.47,6.24,1,0,1
1768500039.111,4.18,2.49,-3.02,-0.78,2.19,2.95,2.12,2.40,-3.10,7.56,6.24,0,0,1
1768500039.610,4.17,2.49,-3.05,-0.85,2.19,-0.03,2.12,2.40,-3.10,7.56,6.24,0,0,1
1768500040.111,4.13,2.48,-3.07,-0.84,2.21,-1.51,2.12,2.40,-3.10,7.73,6.33,0,0,1
1768500040.610,4.07,2.48,-3.09,-0.80,2.23,-2.25,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500041.110,4.00,2.47,-3.10,-0.80,2.23,-2.25,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500041.610,3.89,2.47,-3.10,-0.73,2.22,-2.62,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500042.110,3.90,2.47,-3.10,-0.73,2.22,-2.62,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500042.611,3.90,2.47,-3.13,-0.64,2.22,-2.81,-1.49,2.80,-2.25,7.82,6.33,0,0,1
1768500043.111,3.89,2.47,3.12,-0.64,2.22,-2.81,-1.49,2.80,-2.25,7.82,6.33,0,0,1
1768500043.610,3.86,2.47,3.10,-0.59,2.21,-2.90,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500044.110,3.82,2.47,3.09,-0.53,2.21,-2.95,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500044.610,3.73,2.48,3.09,-0.47,2.20,-2.97,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500045.111,3.66,2.48,3.08,-0.47,2.20,-2.97,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500045.610,3.53,2.49,3.09,-0.45,2.17,0.11,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500046.110,3.41,2.49,3.07,-0.50,2.15,1.59,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500046.610,3.21,2.51,3.08,-0.50,2.15,1.59,-1.49,2.80,-2.25,7.91,6.33,0,0,1
1768500047.111,3.07,2.52,3.08,-0.50,2.15,1.59,-1.49,2.80,-2.25,7.56,6.24,0,0,1
1768500047.611,2.84,2.53,3.08,-0.84,2.17,2.36,-1.49,2.80,-2.25,7.47,6.24,1,0,1
1768500048.110,2.68,2.53,3.09,-0.84,2.17,2.36,-1.49,2.80,-2.25,7.56,6.24,0,0,1
1768500048.610,2.47,2.55,3.07,-0.89,2.17,2.76,-1.49,2.80,-2.25,8.00,6.24,0,0,1
1768500049.110,2.29,2.56,3.06,-1.11,2.17,2.95,-1.49,2.80,-2.25,8.09,6.42,1,0,1
1768500049.611,2.06,2.57,3.07,-1.11,2.17,2.95,-1.49,2.80,-2.25,7.47,6.33,0,0,1
1768500050.110,1.90,2.58,3.08,-1.15,2.16,3.02,-1.49,2.80,-2.25,8.61,6.33,0,0,1
1768500050.611,1.65,2.59,3.07,-0.86,2.17,3.06,-1.49,2.80,-2.25,10.28,6.33,1,0,1
1768500051.111,1.51,2.60,3.06,-0.86,2.17,3.06,-1.49,2.80,-2.25,11.78,6.33,0,0,1
1768500051.610,1.29,2.62,3.07,-1.12,2.19,3.09,-1.49,2.80,-2.25,7.38,6.24,1,0,1
1768500052.110,1.10,2.63,3.08,-1.19,2.17,3.10,-1.49,2.80,-2.25,7.47,6.24,0,0,1
1768500052.611,0.86,2.64,3.08,-0.91,2.20,3.09,-1.49,2.80,-2.25,7.47,6.24,1,0,1
1768500053.111,0.62,2.66,3.07,-0.92,2.19,3.11,-1.49,2.80,-2.25,7.56,6.33,0,0,1
1768500053.611,0.45,2.66,3.07,-0.71,2.20,3.12,-1.49,2.80,-2.25,7.56,6.33,1,0,1
1768500054.111,0.21,2.68,3.08,-0.71,2.20,3.12,-1.49,2.80,-2.25,7.56,6.33,0,0,1
1768500054.610,0.06,2.69,3.07,-0.62,2.19,3.12,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500055.110,-0.09,2.70,3.07,-0.51,2.19,3.13,-1.49,2.80,-2.25,7.65,6.33,1,0,1
1768500055.610,-0.32,2.71,3.08,-0.44,2.19,3.13,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500056.110,-0.42,2.72,3.07,-0.44,2.19,3.13,-1.49,2.80,-2.25,7.73,6.33,0,0,1
1768500056.610,-0.44,2.72,3.08,-0.44,2.19,3.13,-0.43,3.09,3.13,8.96,7.29,0,0,1
1768500057.110,-0.44,2.72,3.07,-0.53,2.17,3.10,-0.43,3.09,3.13,9.84,3.34,0,0,1
1768500057.611,-0.44,2.72,3.07,-0.53,2.17,3.10,-0.43,3.09,3.13,6.68,1.41,0,0,1
1768500058.111,-0.44,2.71,3.07,-0.29,2.26,2.70,-0.43,3.09,3.13,1.14,13.45,1,0,1
1768500058.610,-0.44,2.72,2.80,-0.08,2.38,2.18,-0.43,3.09,3.13,3.96,48.96,1,0,1
1768500059.110,-0.45,2.72,2.57,0.14,2.70,1.73,-0.43,3.09,3.13,15.91,8.09,1,0,1
1768500059.610,-0.45,2.73,2.21,0.30,3.14,1.52,-0.43,3.09,3.13,15.21,44.21,1,0,1
1768500060.110,-0.45,2.73,1.98,0.36,3.52,1.31,-0.43,3.09,3.13,4.48,14.15,1,0,1
1768500060.610,-0.46,2.73,1.79,0.36,3.52,1.31,-0.43,3.09,3.13,2.20,18.81,0,0,1
1768500061.110,-0.47,2.74,1.72,-0.23,3.91,1.24,-0.43,3.09,3.13,6.68,7.38,1,0,1
1768500061.610,-0.47,2.74,1.63,0.29,4.42,1.10,-0.43,3.09,3.13,16.08,11.07,1,0,1
1768500062.110,-0.46,2.74,1.60,0.23,4.94,1.05,-0.43,3.09,3.13,8.53,39.81,1,0,1
1768500062.610,-0.46,2.79,1.57,-0.19,4.74,1.05,-0.40,3.26,1.43,8.79,8.17,1,0,1
1768500063.110,-0.46,2.84,1.55,-0.28,5.10,1.05,-0.40,3.26,1.43,0.44,14.41,1,0,1
1768500063.610,-0.46,2.92,1.55,-0.28,5.10,1.05,-0.40,3.26,1.43,2.46,5.45,0,0,1
1768500064.111,-0.46,2.91,1.55,-0.28,5.10,1.05,-0.40,3.26,1.43,6.59,4.39,0,0,1
1768500064.610,-0.46,2.91,1.49,-0.26,5.79,1.14,-0.40,3.26,1.43,7.73,6.33,1,0,1
1768500065.110,-0.46,2.92,1.46,-0.26,5.79,1.25,-0.40,3.26,1.43,7.65,6.15,0,0,1
1768500065.611,-0.45,2.95,1.43,0.12,6.57,1.31,-0.40,3.26,1.43,7.47,6.15,1,0,1
1768500066.110,-0.45,2.99,1.42,0.09,6.77,1.35,-0.40,3.26,1.43,7.56,6.15,1,0,1
1768500066.610,-0.43,3.07,1.41,0.09,6.77,1.35,-0.40,3.26,1.43,7.47,6.15,0,0,1
1768500067.111,-0.42,3.13,1.40,0.09,6.77,1.35,-0.40,3.26,1.43,7.12,5.71,0,0,1
1768500067.610,-0.41,3.19,1.40,0.06,6.85,1.37,-0.40,3.26,1.43,7.03,5.71,0,0,1
1768500068.110,-0.41,3.21,1.40,0.03,6.85,1.36,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500068.610,-0.41,3.21,1.39,0.02,6.76,1.35,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500069.110,-0.41,3.21,1.39,0.02,6.76,1.35,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500069.610,-0.41,3.21,1.39,0.01,6.70,1.36,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500070.110,-0.40,3.21,1.32,0.01,6.70,1.36,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500070.610,-0.40,3.23,1.26,0.01,6.70,1.36,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500071.111,-0.39,3.25,1.24,-0.00,6.63,1.36,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500071.610,-0.37,3.31,1.22,-0.26,5.79,1.36,0.92,6.66,1.36,7.03,5.71,1,0,1
1768500072.110,-0.35,3.36,1.22,-0.26,5.79,1.35,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500072.610,-0.31,3.48,1.21,-0.20,5.82,1.35,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500073.110,-0.28,3.57,1.21,-0.19,5.86,1.35,0.92,6.66,1.36,7.03,5.71,0,0,1
1768500073.610,-0.22,3.73,1.20,-0.20,5.82,1.35,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500074.110,-0.18,3.86,1.19,-0.06,5.84,1.35,0.67,5.62,1.35,7.03,5.71,1,0,1
1768500074.611,-0.10,4.05,1.20,-0.09,5.81,1.35,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500075.110,-0.10,4.05,1.20,-0.06,5.84,1.35,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500075.610,-0.10,4.05,1.17,0.01,5.95,1.34,0.67,5.62,1.35,7.03,5.71,1,0,1
1768500076.110,-0.10,4.06,1.14,0.02,5.95,1.34,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500076.610,-0.08,4.09,1.12,0.02,5.95,1.34,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500077.110,-0.07,4.12,1.12,0.02,5.95,1.33,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500077.610,-0.03,4.20,1.12,0.02,5.95,1.32,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500078.110,0.00,4.26,1.11,0.02,5.95,1.31,0.67,5.62,1.35,7.03,5.71,0,0,1
1768500078.611,0.07,4.40,1.12,0.02,5.95,1.31,0.67,5.62,1.35,7.12,5.71,0,0,1
1768500079.111,0.11,4.49,1.11,0.02,5.95,1.31,0.67,5.62,1.35,7.12,5.71,0,0,1
1768500079.611,0.19,4.65,1.12,0.02,5.95,1.31,0.67,5.62,1.35,7.12,5.71,0,0,1
1768500080.111,0.23,4.73,1.11,0.02,5.95,1.30,0.67,5.62,1.35,7.12,5.71,0,0,1
1768500080.610,0.23,4.73,1.11,0.02,5.95,1.30,0.67,5.62,1.35,7.12,5.71,0,0,1
1768500081.110,0.23,4.73,1.11,0.02,5.95,1.31,0.67,5.62,1.35,7.03,5.71,0,0,1
